kernel,backend,size,algorithm,trial,mean_best_ms,median_best_ms,std_best_ms,ci95_ms,min_best_ms,max_best_ms
matmul,sycl,2048,random,1,9.864345598220826,9.993215799331665,0.3262717710475026,0.20222533881450955,9.22111988067627,10.201600074768066
matmul,sycl,2048,random,2,6.848563241958618,6.431488037109375,2.05260479933978,1.2722176352128907,4.365823984146118,10.201600074768066
matmul,sycl,2048,random,3,5.857894396781921,5.467648029327393,1.2938077493032605,0.8019103510661885,4.365823984146118,8.00051212310791
matmul,sycl,2048,random,4,5.471180820465088,5.2008960247039795,1.0491334118864433,0.650259625585167,4.365823984146118,8.00051212310791
matmul,sycl,2048,random,5,5.3734911441802975,4.957183837890625,1.0479613825639713,0.649533194285038,4.365823984146118,7.921663761138916
matmul,sycl,2048,random,6,4.921139192581177,4.886016011238098,0.3127777034371717,0.19386162905891513,4.365823984146118,5.539328098297119
matmul,sycl,2048,random,7,4.921139192581177,4.886016011238098,0.3127777034371717,0.19386162905891513,4.365823984146118,5.539328098297119
matmul,sycl,2048,random,8,4.879769611358642,4.859904050827026,0.3047901162959272,0.18891087125733563,4.365823984146118,5.539328098297119
matmul,sycl,2048,random,9,4.836966395378113,4.859904050827026,0.22047526036226417,0.1366519821308254,4.365823984146118,5.137919902801514
matmul,sycl,2048,random,10,4.771583986282349,4.784640073776245,0.2137075480252765,0.1324573105662198,4.365823984146118,5.089792013168335
matmul,sycl,2048,random,11,4.753408002853393,4.7592960596084595,0.20177421267972445,0.12506095269041057,4.365823984146118,5.089792013168335
matmul,sycl,2048,random,12,4.753408002853393,4.7592960596084595,0.20177421267972445,0.12506095269041057,4.365823984146118,5.089792013168335
matmul,sycl,2048,random,13,4.716902422904968,4.7178239822387695,0.20583490188665007,0.12757779393614432,4.365823984146118,5.089792013168335
matmul,sycl,2048,random,14,4.716902422904968,4.7178239822387695,0.20583490188665007,0.12757779393614432,4.365823984146118,5.089792013168335
matmul,sycl,2048,random,15,4.66974720954895,4.70963191986084,0.24451776982927934,0.15155368388488347,4.356096029281616,5.089792013168335
matmul,sycl,2048,random,16,4.664217615127564,4.70963191986084,0.24199868765522026,0.149992340577385,4.356096029281616,5.089792013168335
matmul,sycl,2048,random,17,4.664217615127564,4.70963191986084,0.24199868765522026,0.149992340577385,4.356096029281616,5.089792013168335
matmul,sycl,2048,random,18,4.664217615127564,4.70963191986084,0.24199868765522026,0.149992340577385,4.356096029281616,5.089792013168335
matmul,sycl,2048,random,19,4.656588816642762,4.70963191986084,0.22788294459893058,0.14124331238836296,4.356096029281616,5.0135040283203125
matmul,sycl,2048,random,20,4.656588816642762,4.70963191986084,0.22788294459893058,0.14124331238836296,4.356096029281616,5.0135040283203125
matmul,cuda,2048,bayesian,1,3.265223979949951,2.9159120321273804,1.0143989809312057,0.628731002235679,2.2379040718078613,5.411471843719482
matmul,cuda,2048,bayesian,2,2.3268272161483763,2.2649120092391968,0.33625163434623745,0.20841092217168977,1.9814239740371704,2.952463984489441
matmul,cuda,2048,bayesian,3,2.1591968178749084,2.097696006298065,0.33547582540295895,0.20793007080687165,1.7231360077857971,2.952463984489441
matmul,cuda,2048,bayesian,4,2.1009504199028015,2.097696006298065,0.20926724595776,0.12970518283184845,1.7231360077857971,2.3700000047683716
matmul,cuda,2048,bayesian,5,2.0333632051944734,1.9896160066127777,0.19865466358292236,0.12312743612836188,1.7231360077857971,2.3700000047683716
matmul,cuda,2048,bayesian,6,1.9952735960483552,1.9709759652614594,0.19159453427705245,0.1187515226487188,1.7231360077857971,2.3700000047683716
matmul,cuda,2048,bayesian,7,1.9525775909423828,1.9275039732456207,0.19948936773662068,0.12364479112278752,1.7231360077857971,2.3700000047683716
matmul,cuda,2048,bayesian,8,1.9329311966896057,1.9234719574451447,0.21481844763597302,0.1331458532784525,1.7003840208053589,2.3700000047683716
matmul,cuda,2048,bayesian,9,1.9281823933124542,1.9234719574451447,0.22026329992387916,0.1365206076900331,1.678655982017517,2.3700000047683716
matmul,cuda,2048,bayesian,10,1.921095997095108,1.9234719574451447,0.20508668347529907,0.1271140433601845,1.678655982017517,2.2991360425949097
matmul,cuda,2048,bayesian,11,1.921095997095108,1.9234719574451447,0.20508668347529907,0.1271140433601845,1.678655982017517,2.2991360425949097
