kernel,backend,size,M,N,K,config_id,BM,BN,BK,TM,TN,algorithms,sample_count,mean_time_ms,best_time_ms,mean_gflops,best_gflops,threads_per_block,shared_memory_bytes,active_blocks_per_sm,theoretical_occupancy
matmul,cuda,2048,2048,2048,2048,32_32_16_4_1,32,32,16,4,1,bayesian;random,2,3.164623975753784,3.1333119869232178,5429.255218871118,5482.97432738893,256,4096,8,1.0
matmul,cuda,2048,2048,2048,2048,32_32_16_4_2,32,32,16,4,2,bayesian;random,5,1.929040002822876,1.7728319764137268,8960.81648228678,9690.63589362443,128,4096,12,0.75
matmul,cuda,2048,2048,2048,2048,32_32_16_4_4,32,32,16,4,4,bayesian;random,4,2.1579079777002335,1.9250239729881287,8054.9681550297155,8924.496227095009,64,4096,12,0.375
matmul,cuda,2048,2048,2048,2048,32_32_32_1_2,32,32,32,1,2,bayesian;random,4,3.9807640314102173,3.628480076789856,4359.1636243003895,4734.728817692493,512,8192,4,1.0
matmul,cuda,2048,2048,2048,2048,32_32_32_1_4,32,32,32,1,4,bayesian;random,7,4.902130195072719,4.384143829345703,3528.1481754287493,3918.6372191999803,256,8192,6,0.75
matmul,cuda,2048,2048,2048,2048,32_32_32_2_1,32,32,32,2,1,random,3,3.2323786417643228,3.1255680322647095,5321.479926118256,5496.559027560789,512,8192,4,1.0
matmul,cuda,2048,2048,2048,2048,32_32_32_2_2,32,32,32,2,2,bayesian,2,2.72952002286911,2.4429919719696045,6364.229577966425,7032.306852056144,256,8192,6,0.75
matmul,cuda,2048,2048,2048,2048,32_32_32_2_4,32,32,32,2,4,bayesian,5,2.7052224397659304,2.2991360425949097,6435.989086985655,7472.315193932594,128,8192,6,0.375
matmul,cuda,2048,2048,2048,2048,32_32_32_4_1,32,32,32,4,1,bayesian;random,5,3.8092671632766724,3.6839998960494995,4511.445052608196,4663.373960032589,256,8192,6,0.75
matmul,cuda,2048,2048,2048,2048,32_32_32_4_2,32,32,32,4,2,bayesian;random,4,3.947472006082535,3.684544086456299,4390.343192453599,4662.685200904507,128,8192,6,0.375
matmul,cuda,2048,2048,2048,2048,32_32_32_4_4,32,32,32,4,4,bayesian;random,6,2.0350372890631356,1.7811200022697449,8519.138063674809,9645.542783252717,64,8192,6,0.1875
matmul,cuda,2048,2048,2048,2048,32_32_8_1_4,32,32,8,1,4,bayesian,4,4.310171961784363,3.6400959491729736,4026.6020267061267,4719.619873729771,256,2048,8,1.0
matmul,cuda,2048,2048,2048,2048,32_32_8_2_1,32,32,8,2,1,random,1,4.295360088348389,4.295360088348389,3999.6342170711564,3999.6342170711564,512,2048,4,1.0
matmul,cuda,2048,2048,2048,2048,32_32_8_2_2,32,32,8,2,2,bayesian;random,3,3.3016106685002646,3.064512014389038,5217.710741362934,5606.070102950826,256,2048,8,1.0
matmul,cuda,2048,2048,2048,2048,32_32_8_2_4,32,32,8,2,4,bayesian;random,4,2.453664004802704,2.3388479948043823,7013.271318832118,7345.440670861938,128,2048,16,1.0
matmul,cuda,2048,2048,2048,2048,32_32_8_4_1,32,32,8,4,1,bayesian;random,4,2.977836012840271,2.673375964164734,5834.021935267026,6426.282503578825,256,2048,8,1.0
matmul,cuda,2048,2048,2048,2048,32_32_8_4_2,32,32,8,4,2,bayesian;random,4,2.623612016439438,2.58788800239563,6548.58305737011,6638.567499094415,128,2048,16,1.0
matmul,cuda,2048,2048,2048,2048,32_32_8_4_4,32,32,8,4,4,bayesian;random,3,2.5565706491470337,2.5032639503479004,6724.701538257135,6862.987493433269,64,2048,24,0.75
matmul,cuda,2048,2048,2048,2048,32_64_16_1_4,32,64,16,1,4,bayesian;random,4,3.541680008172989,3.444159984588623,4855.419777858615,4988.115900792569,512,6144,4,1.0
matmul,cuda,2048,2048,2048,2048,32_64_16_2_2,32,64,16,2,2,bayesian;random,2,2.6289600133895874,2.628704071044922,6534.8538050528205,6535.490005602237,512,6144,4,1.0
matmul,cuda,2048,2048,2048,2048,32_64_16_2_4,32,64,16,2,4,bayesian;random,9,2.2526809109581842,2.02019202709198,7695.30478335591,8504.077312259284,256,6144,8,1.0
matmul,cuda,2048,2048,2048,2048,32_64_16_4_1,32,64,16,4,1,bayesian;random,2,2.69624000787735,2.376255989074707,6462.812876854063,7229.805737676305,512,6144,4,1.0
matmul,cuda,2048,2048,2048,2048,32_64_16_4_2,32,64,16,4,2,bayesian;random,3,1.9488106767336528,1.789023995399475,8907.252588090454,9602.928316321364,256,6144,8,1.0
matmul,cuda,2048,2048,2048,2048,32_64_16_4_4,32,64,16,4,4,random,3,1.949178675810496,1.7741439938545227,8851.273588053946,9683.46946105251,128,6144,8,0.5
